name,address,city,state,zipCode,phoneNumber,email,totalBeds,availableBeds,description
Open Door Mission - Charlotte Services East,8227 3rd St,Charlotte,NC,68831,575-553-6854,contact1612@shelter.org,21,0,Scraped-style dataset with room availability restored.
Salvation Army - New York Mission,7334 Pine St,New York,NY,98899,765-488-9156,contact1613@shelter.org,96,23,Scraped-style dataset with room availability restored.
Transitional Housing Program - Boston Services South,7675 3rd St,Boston,MA,14825,536-310-6404,contact1614@shelter.org,56,10,Scraped-style dataset with room availability restored.
Salvation Army - Detroit Shelter South,9705 Cedar St,Detroit,MI,28644,484-527-5545,contact1615@shelter.org,46,1,Scraped-style dataset with room availability restored.
Rescue Mission - San Jose Mission South,9501 Pine St,San Jose,CA,80037,279-975-6374,contact1616@shelter.org,56,24,Scraped-style dataset with room availability restored.
Hope Center - Baltimore Services South,9308 Pine St,Baltimore,MD,19727,997-226-6661,contact1617@shelter.org,29,9,Scraped-style dataset with room availability restored.
Faith Shelter - Philadelphia Program South,6216 Market St,Philadelphia,PA,34921,944-579-7761,contact1618@shelter.org,75,4,Scraped-style dataset with room availability restored.
Urban Shelter - San Antonio Services West,772 Elm St,San Antonio,TX,60260,302-401-5029,contact1619@shelter.org,34,6,Scraped-style dataset with room availability restored.
Rescue Mission - Charlotte Program,9980 Walnut St,Charlotte,NC,98091,662-732-3546,contact1620@shelter.org,18,5,Scraped-style dataset with room availability restored.
Community Shelter - Baltimore Center East,7578 Broad St,Baltimore,MD,39787,228-597-8476,contact1621@shelter.org,23,6,Scraped-style dataset with room availability restored.
Transitional Housing Program - San Antonio Shelter West,4883 Broad St,San Antonio,TX,11235,469-304-7315,contact1622@shelter.org,37,0,Scraped-style dataset with room availability restored.
Open Door Mission - Seattle Program,5423 3rd St,Seattle,WA,37716,276-342-7097,contact1623@shelter.org,54,21,Scraped-style dataset with room availability restored.
Transitional Housing Program - Portland Services,8312 Maple St,Portland,OR,26298,425-851-6993,contact1624@shelter.org,89,14,Scraped-style dataset with room availability restored.
Community Shelter - Portland Shelter South,5278 3rd St,Portland,OR,42263,598-981-4980,contact1625@shelter.org,30,2,Scraped-style dataset with room availability restored.
Open Door Mission - Columbus Program North,7385 2nd St,Columbus,OH,27378,515-745-7947,contact1626@shelter.org,77,10,Scraped-style dataset with room availability restored.
Union Gospel Mission - Philadelphia Shelter West,984 Broad St,Philadelphia,PA,15405,529-365-6633,contact1627@shelter.org,86,21,Scraped-style dataset with room availability restored.
Faith Shelter - San Antonio Services,6899 Walnut St,San Antonio,TX,78011,552-215-9824,contact1628@shelter.org,47,15,Scraped-style dataset with room availability restored.
Urban Shelter - San Antonio Center North,7308 Pine St,San Antonio,TX,63749,685-549-6940,contact1629@shelter.org,99,16,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Boston Services,7803 Oak St,Boston,MA,58272,744-572-7399,contact1630@shelter.org,18,0,Scraped-style dataset with room availability restored.
Salvation Army - Los Angeles Mission South,988 Elm St,Los Angeles,CA,92181,715-253-3667,contact1631@shelter.org,60,0,Scraped-style dataset with room availability restored.
Emergency Housing Center - Phoenix Program,6858 3rd St,Phoenix,AZ,37811,210-223-4834,contact1632@shelter.org,116,4,Scraped-style dataset with room availability restored.
Community Shelter - San Jose Mission East,7495 3rd St,San Jose,CA,76029,930-365-1443,contact1633@shelter.org,56,19,Scraped-style dataset with room availability restored.
Urban Shelter - Boston Mission East,4950 Broad St,Boston,MA,75698,505-548-1585,contact1634@shelter.org,50,1,Scraped-style dataset with room availability restored.
Union Gospel Mission - Portland Mission South,2843 Pine St,Portland,OR,89769,992-637-2557,contact1635@shelter.org,35,15,Scraped-style dataset with room availability restored.
Rescue Mission - San Diego Shelter North,9198 Elm St,San Diego,CA,17818,454-308-3835,contact1636@shelter.org,111,43,Scraped-style dataset with room availability restored.
Hope Center - Seattle Mission,5302 Maple St,Seattle,WA,85146,436-845-7351,contact1637@shelter.org,92,12,Scraped-style dataset with room availability restored.
Rescue Mission - Washington Center East,4869 Market St,Washington,DC,63009,529-943-8526,contact1638@shelter.org,114,6,Scraped-style dataset with room availability restored.
Rescue Mission - Jacksonville Program West,4983 Cedar St,Jacksonville,FL,60229,679-802-7112,contact1639@shelter.org,87,29,Scraped-style dataset with room availability restored.
City Shelter - Portland Center East,6521 3rd St,Portland,OR,56360,340-583-4752,contact1640@shelter.org,96,24,Scraped-style dataset with room availability restored.
Community Shelter - San Jose Program,6455 Market St,San Jose,CA,25340,438-791-7995,contact1641@shelter.org,48,16,Scraped-style dataset with room availability restored.
City Shelter - Los Angeles Program East,8207 Oak St,Los Angeles,CA,65460,878-331-9525,contact1642@shelter.org,25,7,Scraped-style dataset with room availability restored.
Veterans Outreach - Nashville Services East,4558 Main St,Nashville,TN,46835,657-878-1761,contact1643@shelter.org,32,9,Scraped-style dataset with room availability restored.
Rescue Mission - San Antonio Services South,7572 3rd St,San Antonio,TX,98013,764-618-9176,contact1644@shelter.org,84,20,Scraped-style dataset with room availability restored.
Family Shelter Network - San Diego Shelter,9897 Cedar St,San Diego,CA,54094,400-744-9316,contact1645@shelter.org,97,2,Scraped-style dataset with room availability restored.
Safe Haven - Charlotte Shelter,3098 3rd St,Charlotte,NC,37205,270-714-8288,contact1646@shelter.org,56,23,Scraped-style dataset with room availability restored.
Union Gospel Mission - San Diego Services West,9451 Elm St,San Diego,CA,10157,251-629-5365,contact1647@shelter.org,110,31,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Houston Program West,875 Pine St,Houston,TX,43658,484-903-8397,contact1648@shelter.org,39,17,Scraped-style dataset with room availability restored.
Emergency Housing Center - Charlotte Shelter West,8672 2nd St,Charlotte,NC,80936,560-671-7680,contact1649@shelter.org,55,23,Scraped-style dataset with room availability restored.
City Shelter - Dallas Center East,4521 Broad St,Dallas,TX,14776,468-951-8154,contact1650@shelter.org,45,7,Scraped-style dataset with room availability restored.
Safe Haven - Portland Shelter East,4143 2nd St,Portland,OR,82290,548-274-9659,contact1651@shelter.org,105,29,Scraped-style dataset with room availability restored.
City Shelter - Philadelphia Center East,2263 Walnut St,Philadelphia,PA,26767,397-523-6848,contact1652@shelter.org,62,0,Scraped-style dataset with room availability restored.
Salvation Army - Dallas Mission North,8127 Maple St,Dallas,TX,10853,414-890-9407,contact1653@shelter.org,18,3,Scraped-style dataset with room availability restored.
Urban Shelter - San Francisco Center North,1148 Oak St,San Francisco,CA,54481,455-604-7571,contact1654@shelter.org,106,15,Scraped-style dataset with room availability restored.
Rescue Mission - Portland Mission South,8873 Walnut St,Portland,OR,42369,727-533-7082,contact1655@shelter.org,109,31,Scraped-style dataset with room availability restored.
Salvation Army - Baltimore Center East,2591 Market St,Baltimore,MD,51056,355-802-5174,contact1656@shelter.org,86,12,Scraped-style dataset with room availability restored.
Urban Shelter - Baltimore Program,6088 3rd St,Baltimore,MD,13332,404-347-2567,contact1657@shelter.org,45,18,Scraped-style dataset with room availability restored.
Faith Shelter - San Diego Mission South,1434 Maple St,San Diego,CA,79665,437-607-9056,contact1658@shelter.org,65,12,Scraped-style dataset with room availability restored.
Veterans Outreach - Chicago Program West,8042 Broad St,Chicago,IL,51811,301-317-4967,contact1659@shelter.org,30,9,Scraped-style dataset with room availability restored.
Safe Haven - Jacksonville Shelter,1379 3rd St,Jacksonville,FL,93381,587-535-9851,contact1660@shelter.org,89,11,Scraped-style dataset with room availability restored.
Community Shelter - Nashville Services South,9488 3rd St,Nashville,TN,30836,324-854-4134,contact1661@shelter.org,82,32,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Los Angeles Center West,3426 Cedar St,Los Angeles,CA,11221,331-402-8380,contact1662@shelter.org,17,4,Scraped-style dataset with room availability restored.
Safe Haven - Austin Center East,8509 Oak St,Austin,TX,13499,568-767-9068,contact1663@shelter.org,62,19,Scraped-style dataset with room availability restored.
Safe Haven - San Antonio Shelter East,6274 Main St,San Antonio,TX,30817,860-587-7715,contact1664@shelter.org,59,8,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Detroit Program West,7574 Cedar St,Detroit,MI,48003,448-484-1644,contact1665@shelter.org,104,36,Scraped-style dataset with room availability restored.
Family Shelter Network - Boston Shelter,8360 2nd St,Boston,MA,16839,328-871-8322,contact1666@shelter.org,81,35,Scraped-style dataset with room availability restored.
Union Gospel Mission - San Diego Services West,3218 Walnut St,San Diego,CA,51090,922-313-6282,contact1667@shelter.org,109,11,Scraped-style dataset with room availability restored.
Urban Shelter - Baltimore Center East,4383 2nd St,Baltimore,MD,66367,793-334-4018,contact1668@shelter.org,104,16,Scraped-style dataset with room availability restored.
Open Door Mission - Seattle Shelter West,6686 Walnut St,Seattle,WA,18749,647-416-9540,contact1669@shelter.org,21,2,Scraped-style dataset with room availability restored.
Safe Haven - San Antonio Shelter West,5633 Market St,San Antonio,TX,43163,971-486-4359,contact1670@shelter.org,27,4,Scraped-style dataset with room availability restored.
Community Shelter - Charlotte Shelter,3151 Market St,Charlotte,NC,73918,375-922-1426,contact1671@shelter.org,74,18,Scraped-style dataset with room availability restored.
Safe Haven - Dallas Services East,7766 2nd St,Dallas,TX,62488,625-205-5228,contact1672@shelter.org,25,9,Scraped-style dataset with room availability restored.
Rescue Mission - Portland Shelter,8485 Elm St,Portland,OR,70926,883-434-6220,contact1673@shelter.org,49,22,Scraped-style dataset with room availability restored.
Safe Haven - Austin Center West,6995 Cedar St,Austin,TX,81842,705-733-2910,contact1674@shelter.org,107,3,Scraped-style dataset with room availability restored.
Hope Center - Phoenix Program North,3881 Oak St,Phoenix,AZ,78463,331-722-8852,contact1675@shelter.org,47,2,Scraped-style dataset with room availability restored.
Faith Shelter - Nashville Shelter,6351 Elm St,Nashville,TN,34378,242-629-2544,contact1676@shelter.org,88,15,Scraped-style dataset with room availability restored.
Hope Center - Jacksonville Mission West,8101 Main St,Jacksonville,FL,39698,885-489-5453,contact1677@shelter.org,71,29,Scraped-style dataset with room availability restored.
Safe Haven - Austin Shelter,7745 2nd St,Austin,TX,27131,378-532-5550,contact1678@shelter.org,57,9,Scraped-style dataset with room availability restored.
Faith Shelter - Jacksonville Services East,702 Oak St,Jacksonville,FL,79115,428-528-4234,contact1679@shelter.org,75,30,Scraped-style dataset with room availability restored.
City Shelter - San Francisco Shelter South,2561 Pine St,San Francisco,CA,80358,278-931-2605,contact1680@shelter.org,109,29,Scraped-style dataset with room availability restored.
Rescue Mission - Columbus Mission East,2162 Elm St,Columbus,OH,90023,830-467-1253,contact1681@shelter.org,68,9,Scraped-style dataset with room availability restored.
Faith Shelter - Indianapolis Shelter North,9141 Walnut St,Indianapolis,IN,95102,997-925-6499,contact1682@shelter.org,106,2,Scraped-style dataset with room availability restored.
Hope Center - Houston Center South,4868 Main St,Houston,TX,75859,316-627-8299,contact1683@shelter.org,25,11,Scraped-style dataset with room availability restored.
Union Gospel Mission - Austin Mission South,5466 Pine St,Austin,TX,13592,719-225-5997,contact1684@shelter.org,80,24,Scraped-style dataset with room availability restored.
Rescue Mission - San Diego Program North,6962 Elm St,San Diego,CA,37783,404-819-1225,contact1685@shelter.org,38,9,Scraped-style dataset with room availability restored.
Union Gospel Mission - Houston Services West,4874 Oak St,Houston,TX,76622,904-382-6331,contact1686@shelter.org,88,4,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Austin Shelter,7302 Cedar St,Austin,TX,61045,904-773-9643,contact1687@shelter.org,39,15,Scraped-style dataset with room availability restored.
Family Shelter Network - Charlotte Shelter East,3182 Main St,Charlotte,NC,41098,610-228-7129,contact1688@shelter.org,53,10,Scraped-style dataset with room availability restored.
Emergency Housing Center - San Francisco Mission South,8370 Maple St,San Francisco,CA,62855,842-833-9012,contact1689@shelter.org,68,19,Scraped-style dataset with room availability restored.
